SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,date_collected
MLS Listing,,Single Family Residential,8113 Wheeler Woods Dr,Apex,NC,27539,389319,4,3,Wake,2829,10628,2016,24,138,86,Active,,,http://www.redfin.com/NC/Apex/4016-Truelove-Dr-27539/home/41080367,TMLS,2122407,N,Y,35.6714709,-78.746249,5/10/2017
MLS Listing,,Single Family Residential,600 Country Ln,Cary,NC,27513,1000000,4,5,Wake,4550,191664,1973,22,220,,Active,May-21-2017 11:00 AM,May-21-2017 02:00 PM,http://www.redfin.com/NC/Cary/600-Country-Ln-27513/home/41089733,TMLS,2122860,N,Y,35.8102601,-78.7673807,5/10/2017
MLS Listing,,Single Family Residential,1404 Helmsdale Dr,Cary,NC,27511,299000,4,3,Scottish Hills,2586,12632,1972,4,116,,Active,,,http://www.redfin.com/NC/Cary/1404-Helmsdale-Dr-27511/home/41093904,TMLS,2126734,N,Y,35.7570053,-78.8014113,5/10/2017
MLS Listing,,Single Family Residential,931 Manchester,Cary,NC,27511,379000,4,4,Walnut Hills,3150,20473,1973,21,120,,Active,,,http://www.redfin.com/NC/Cary/931-Manchester-Dr-27511/home/41111117,TMLS,2122377,N,Y,35.7752879,-78.7490641,5/10/2017
MLS Listing,,Single Family Residential,10704 Penny Rd,Cary,NC,27518,900000,4,4,Wake,2892,288802,1972,202,311,,Active,,,http://www.redfin.com/NC/Cary/10704-Penny-Rd-27518/home/41124848,TMLS,2095234,N,Y,35.717749,-78.791107,5/10/2017
MLS Listing,,Single Family Residential,7905 Emery Gayle Ln,Cary,NC,27519,2750000,4,8,Wake,7471,638154,2003,275,368,,Active,,,http://www.redfin.com/NC/Cary/7905-Emery-Gayle-Ln-27519/home/41155578,TMLS,2083363,N,Y,35.7816009,-78.907671,5/10/2017
MLS Listing,,Single Family Residential,108 Prince William Ln,Cary,NC,27511-6327,424500,4,4,Royal Ridge,3156,17859,1994,18,135,12,Active,,,http://www.redfin.com/NC/Cary/108-Prince-William-Ln-27511/home/41159956,TMLS,2123703,N,Y,35.7543282,-78.8020922,5/10/2017
MLS Listing,,Single Family Residential,100 Countryside Ln,Cary,NC,27518,415000,4,3,Lochmere,3037,17859,1987,13,137,50,Active,,,http://www.redfin.com/NC/Cary/100-Countryside-Ln-27518/home/41160089,TMLS,2124605,N,Y,35.7353786,-78.7573323,5/10/2017
MLS Listing,,Single Family Residential,108 Delchester Ct,Cary,NC,27513-3031,249900,4,3,Canterberry Woods,1704,21344,1986,7,147,,Active,,,http://www.redfin.com/NC/Cary/108-Delchester-Ct-27513/home/41162757,TMLS,2126006,N,Y,35.8104053,-78.7780753,5/10/2017
MLS Listing,,Single Family Residential,5416 Den Heider Way,Raleigh,NC,27606,674900,4,4,Dutchman Downs,3827,40075,1994,10,176,6,Active,,,http://www.redfin.com/NC/Raleigh/5416-Den-Heider-Way-27606/home/41166325,TMLS,2125259,N,Y,35.706508,-78.7837263,5/10/2017
