SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,date_collected
MLS Listing,,Single Family Residential,10855 Patowmack Dr,Great Falls,VA,22066,1499000,4,4.5,Beach Mill Downs,6019,75063,1988,5,249,,Active,,,http://www.redfin.com/VA/Great-Falls/10855-Patowmack-Dr-22066/home/9069196,MRIS,FX9944380,N,Y,39.0313224,-77.3191506,5/15/2017
MLS Listing,,Single Family Residential,11415 Jordan Ln,Great Falls,VA,22066,779000,4,2.5,Seneca Hills,3177,25992,1985,4,245,,Active,May-21-2017 10:00 AM,May-21-2017 01:00 PM,http://www.redfin.com/VA/Great-Falls/11415-Jordan-Ln-22066/home/9079454,MRIS,FX9945078,N,Y,39.0026827,-77.3404701,5/15/2017
MLS Listing,,Single Family Residential,723 Forest Park Rd,Great Falls,VA,22066,960000,4,2.5,Hidden Forest,2850,40540,1976,1,337,,Active,May-21-2017 11:00 AM,May-21-2017 01:00 PM,http://www.redfin.com/VA/Great-Falls/723-Forest-Park-Rd-22066/home/9085749,MRIS,FX9948079,N,Y,39.001387,-77.2963231,5/15/2017
MLS Listing,,Single Family Residential,801 Dulles Ct,Herndon,VA,20170,404500,4,2,Dulles Park,1908,8523,1974,4,212,14,Active,,,http://www.redfin.com/VA/Herndon/801-Dulles-Ct-20170/home/9101277,MRIS,FX9945258,N,Y,38.9731638,-77.4043244,5/15/2017
MLS Listing,,Single Family Residential,1315 Grant St,Herndon,VA,20170,489000,4,2.5,Barker Hill,2504,11366,1985,1,195,,Active,,,http://www.redfin.com/VA/Herndon/1315-Grant-St-20170/home/9113539,MRIS,FX9947425,N,Y,38.9837529,-77.3816857,5/15/2017
MLS Listing,,Single Family Residential,1209 Rowland Dr,Herndon,VA,20170,669900,4,3.5,Shaker Woods,3530,23820,1989,1,190,21,Active,May-20-2017 10:00 AM,May-20-2017 12:00 PM,http://www.redfin.com/VA/Herndon/1209-Rowland-Dr-20170/home/9120705,MRIS,FX9934235,N,Y,38.9983748,-77.3645245,5/15/2017
MLS Listing,,Single Family Residential,1236 Gilman Ct,Herndon,VA,20170,839000,4,3.5,Shaker Woods,3329,29000,1986,27,252,15,Active,,,http://www.redfin.com/VA/Herndon/1236-Gilman-Ct-20170/home/9121983,MRIS,FX9921297,N,Y,38.9930468,-77.3527235,5/15/2017
MLS Listing,,Single Family Residential,11915 Moss Point Ln,Reston,VA,20194,665000,4,3.5,Reston,2324,13522,1987,4,286,58,Active,,,http://www.redfin.com/VA/Reston/11915-Moss-Point-Ln-20194/home/9129687,MRIS,FX9945388,N,Y,38.9723082,-77.3604675,5/15/2017
Redfin Data,,Single Family Residential,11566 Hemingway Dr,Reston,VA,20194,849000,4,3.5,Reston,2702,5279,1989,8,314,,Pre On-Market,,,http://www.redfin.com/VA/Reston/11566-Hemingway-Dr-20194/home/9135928,Coming Soon,1202,N,Y,38.978507,-77.343137,5/15/2017
MLS Listing,,Single Family Residential,1309 Pavilion Club Way,Reston,VA,20194,799000,4,2.5,Reston,2574,6918,1993,7,310,187,Active,,,http://www.redfin.com/VA/Reston/1309-Pavilion-Club-Way-20194/home/9143106,MRIS,FX9942001,N,Y,38.9806899,-77.3354471,5/15/2017
