SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-23-2017,Single Family Residential,43157 Binkley Cir,Leesburg,VA,20176,540000,4,3.5,Potomac Station,3179,10890,1998,1,170,64,Sold,,,http://www.redfin.com/VA/Leesburg/43157-Binkley-Cir-20176/home/11990172,MRIS,LO9890487,N,Y,39.097405,-77.508512
MLS Listing,,Single Family Residential,43101 Binkley Cir,Leesburg,VA,20176,524900,4,3,Potomac Station,2720,10454,1998,11,193,64,Active,,,http://www.redfin.com/VA/Leesburg/43101-Binkley-Cir-20176/home/11990344,MRIS,LO9944903,N,Y,39.09881,-77.510891
PAST SALE,March-31-2017,Single Family Residential,18687 Drummond Pl,Leesburg,VA,20176,499000,4,3.5,Potomac Station,2575,7841,1997,53,194,64,Sold,,,http://www.redfin.com/VA/Leesburg/18687-Drummond-Pl-20176/home/11990438,MRIS,LO9829343,N,Y,39.098864,-77.5073649
PAST SALE,May-19-2017,Single Family Residential,18620 Darden Ct,Leesburg,VA,20176,578000,4,3.5,Potomac Station,3440,10454,1998,4,168,64,Sold,,,http://www.redfin.com/VA/Leesburg/18620-Darden-Ct-20176/home/11990511,MRIS,LO9865293,N,Y,39.100771,-77.505166
PAST SALE,April-14-2017,Single Family Residential,43324 Sugarbush Ct,Leesburg,VA,20176,690000,4,3.5,River Creek,4310,14375,1998,39,160,175,Sold,,,http://www.redfin.com/VA/Leesburg/43324-Sugarbush-Ct-20176/home/11990817,MRIS,LO9775419,N,Y,39.1026422,-77.5013828
MLS Listing,,Single Family Residential,43333 Sugarbush Ct,Leesburg,VA,20176,1099000,4,4.5,River Creek,7284,20038,1998,60,151,175,Active,,,http://www.redfin.com/VA/Leesburg/43333-Sugarbush-Ct-20176/home/11990831,MRIS,LO9895724,N,Y,39.102292,-77.5007214
PAST SALE,May-2-2017,Single Family Residential,43337 Crystal Lake St,Leesburg,VA,20176,670000,4,4.5,River Creek,4616,13068,1999,21,145,175,Sold,,,http://www.redfin.com/VA/Leesburg/43337-Crystal-Lake-St-20176/home/11990860,MRIS,LO9832239,N,Y,39.103809,-77.498788
PAST SALE,March-23-2017,Single Family Residential,18917 Longhouse Pl,Leesburg,VA,20176,622500,4,3.5,Potomac Station,4373,12197,1999,61,142,64,Sold,,,http://www.redfin.com/VA/Leesburg/18917-Longhouse-Pl-20176/home/11991214,MRIS,LO9841653,N,Y,39.092131,-77.513115
PAST SALE,April-10-2017,Single Family Residential,18913 Longhouse Pl,Leesburg,VA,20176,627000,4,3.5,Potomac Station,3001,12632,1999,43,209,64,Sold,,,http://www.redfin.com/VA/Leesburg/18913-Longhouse-Pl-20176/home/11991218,MRIS,LO9852403,N,Y,39.092204,-77.512832
PAST SALE,May-8-2017,Single Family Residential,18909 Longhouse Pl,Leesburg,VA,20176,645000,4,4.5,Potomac Station,4069,12632,1999,15,159,64,Sold,,,http://www.redfin.com/VA/Leesburg/18909-Longhouse-Pl-20176/home/11991222,MRIS,LO9904014,N,Y,39.092311,-77.512572
